id,title,description,availability,condition,price,link,image_link,brand,additional_image_link,google_product_category
1H2084361C,"Skarpetki z zimowym motywem VW T1/Beetle, 2 pary - 41-46","Skarpetki z zimowym motywemVW T1/Beetle w kolorze czerwonym i granatowym. Zestaw składa się z dwóch par skarpet. Można prać w pralce w 30°C.|Materiał: 86% bawełna, 12% poliamid, 2% elastan|Skarpetki są dostępne w rozmiarach: 36-40 oraz 41-46 (wybór rozmiaru możliwy pod rozwijaną listą z wyborem dealera).|Edycja limitowana – do wyczerpania zapasu.",in stock,New,49.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/skarpetki-z-zimowym-motywem-vw-t147beetle44-2-pary,208521.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1637153019_0e17762e67ba5851e067ba162967337d.jpeg,VW,,
1H2084361B,"Skarpetki z zimowym motywem VW T1/Beetle, 2 pary - 36-40","Skarpetki z zimowym motywemVW T1/Beetle w kolorze czerwonym i granatowym. Zestaw składa się z dwóch par skarpet. Można prać w pralce w 30°C.|Materiał: 86% bawełna, 12% poliamid, 2% elastan|Skarpetki są dostępne w rozmiarach: 36-40 oraz 41-46 (wybór rozmiaru możliwy pod rozwijaną listą z wyborem dealera).|Edycja limitowana – do wyczerpania zapasu.",in stock,New,49.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/skarpetki-z-zimowym-motywem-vw-t147beetle44-2-pary,208520.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1637153032_ff3b9642fb9b1af98470d316659459e0.jpeg,VW,,
7E9084132EWN3,"Bluza męska VW T1, dł. rękaw - 2XL","Męska bluza z długim rękawem w kolorzeoliwkowym,z kolekcjiHeritage. Zapięcie na trzy guziki imitujące klakson. Na brzegu bluzy ozdobna metka pętelkowa, przy karku kolorowa tasiemka.Zprzodu duży nadruk z motywem T1. Wykonana z bawełny organicznej,zapewnia przyjemny komfort noszenia.|Bluza dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować ponadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,169.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/bluza-meska-vw-t144-dl46-rekaw,208474.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965360_89951151b8e51b5701fd38e4628d4d7e.jpeg,VW,,
7E9084132DWN3,"Bluza męska VW T1, dł. rękaw - XL","Męska bluza z długim rękawem w kolorze oliwkowym,z kolekcjiHeritage. Zapięcie na trzy guziki imitujące klakson. Na brzegu bluzy ozdobna metka pętelkowa, przy karku kolorowa tasiemka.Zprzodu duży nadruk z motywem T1. Wykonana z bawełny organicznej,zapewnia przyjemny komfort noszenia.|Bluza dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować ponadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,169.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/bluza-meska-vw-t144-dl46-rekaw,208473.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965305_b35ab321210c6f191ca3d0e0e4be7ea0.jpeg,VW,,
7E9084132CWN3,"Bluza męska VW T1, dł. rękaw - L","Męska bluza z długim rękawem w kolorze oliwkowym,z kolekcjiHeritage. Zapięcie na trzy guziki imitujące klakson. Na brzegu bluzy ozdobna metka pętelkowa, przy karku kolorowa tasiemka.Zprzodu duży nadruk z motywem T1. Wykonana z bawełny organicznej,zapewnia przyjemny komfort noszenia.|Bluza dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować ponadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,169.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/bluza-meska-vw-t144-dl46-rekaw,208472.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965337_18161c45e31ef04a07f6dd19df9040ac.jpeg,VW,,
7E9084132BWN3,"Bluza męska VW T1, dł. rękaw - M","Męska bluza z długim rękawem w kolorze oliwkowym,z kolekcjiHeritage. Zapięcie na trzy guziki imitujące klakson. Na brzegu bluzy ozdobna metka pętelkowa, przy karku kolorowa tasiemka.Zprzodu duży nadruk z motywem T1. Wykonana z bawełny organicznej,zapewnia przyjemny komfort noszenia.|Bluza dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować ponadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,169.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/bluza-meska-vw-t144-dl46-rekaw,208471.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965290_c5b656f74dd4896d23cd8bf2a8f705b2.jpeg,VW,,
7E9084132AWN3,"Bluza męska VW T1, dł. rękaw - S","Męska bluza z długim rękawem w kolorzeoliwkowym,z kolekcjiHeritage. Zapięcie na trzy guziki imitujące klakson. Na brzegu bluzy ozdobna metka pętelkowa, przy karku kolorowa tasiemka.Zprzodu duży nadruk z motywem T1. Wykonana z bawełny organicznej,zapewnia przyjemny komfort noszenia.|Bluza dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować ponadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać",in stock,New,169.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/bluza-meska-vw-t144-dl46-rekaw,208470.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624957219_3fd94e910479dc9c86f41816602c3063.jpeg,VW,,
7E9084050ED5E,Kurtka męska VW T1 softshell - 2XL,"Męska kurtkaprzeciwdeszczowa z kapturemw kolorze granatowym, z kolekcjiHeritage. Szerokość kaptura regulowana przy pomocy gumki i sznurków. Kieszenie zapinane na zamek błyskawiczny.Mankiety z gumką i podszewka z siateczki w kontrastowym kolorze. Na kieszeni przy lewej piersi nadruk“Time to get out”.Z tyłu duży nadrukowany motyw T1 oraz pętelka do zawieszania kurtki.|Do produktu dołączona jest mała torba materiałowa ułatwiająca przechowywanie i transport kurtki.|Kurtka dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać|nie używaćzmiękczacza do tkanin",in stock,New,319.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/kurtka-meska-vw-t1-softshell,208479.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965238_6498619aab47faabfac9a4d765d5df72.jpeg,VW,"https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965238_74b60af4f691a8b6d9deab2e8cfacb7a.jpeg,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965238_1780184b97bd8a3a4d4ed50c7937a665.jpeg,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965239_1cbcc736c9eacb317a83edfc9701378f.jpeg",
7E9084050DD5E,Kurtka męska VW T1 softshell - XL,"Męska kurtkaprzeciwdeszczowa z kapturemw kolorze granatowym, z kolekcjiHeritage. Szerokość kaptura regulowana przy pomocy gumki i sznurków. Kieszenie zapinane na zamek błyskawiczny.Mankiety z gumką i podszewka z siateczki w kontrastowym kolorze. Na kieszeni przy lewej piersi nadruk“Time to get out”.Z tyłu duży nadrukowany motyw T1 oraz pętelka do zawieszania kurtki.|Do produktu dołączona jest mała torba materiałowa ułatwiająca przechowywanie i transport kurtki.|Kurtka dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać|nie używaćzmiękczacza do tkanin",in stock,New,319.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/kurtka-meska-vw-t1-softshell,208478.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965211_a6a1720cd3daf1b77fba00c09faafd5a.jpeg,VW,"https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965211_0665bc55eb1a28278300d7b7649a160d.jpeg,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965211_de6a61133bb705079fd3b12f24bf9432.jpeg,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965211_4427bce56c3723796691c8d9c6a637fe.jpeg",
7E9084050CD5E,Kurtka męska VW T1 softshell - L,"Męska kurtkaprzeciwdeszczowa z kapturemw kolorze granatowym, z kolekcjiHeritage. Szerokość kaptura regulowana przy pomocy gumki i sznurków. Kieszenie zapinane na zamek błyskawiczny.Mankiety z gumką i podszewka z siateczki w kontrastowym kolorze. Na kieszeni przy lewej piersi nadruk“Time to get out”.Z tyłu duży nadrukowany motyw T1 oraz pętelka do zawieszania kurtki.|Do produktu dołączona jest mała torba materiałowa ułatwiająca przechowywanie i transport kurtki.|Kurtka dostępna w rozmiarach: S – 2XL|Uwaga:|prać w30°C|prać i prasować na lewej stronie (nie prasować po nadruku)|nie suszyć w suszarce bębnowej|nie prać chemicznie|nie wybielać|nie używaćzmiękczacza do tkanin",in stock,New,319.00 PLN,"https://vwdostawcze-sklep.pl/katalog/1/kurtka-meska-vw-t1-softshell,208477.html?a=1",https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965188_4da79f42e4f41e904a8adc660437b557.jpeg,VW,"https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965188_52d9e218efceb1e57f4d67a0b65f77bc.jpeg,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965188_50bf37f4b296a6be1f298051ec00e498.jpeg,https://vwdostawcze-sklep.pl/web/uploaded_images/gallery/1624965189_9762707c4fe84f1c7ea04037252e15c3.jpeg",
